 	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	sample_45	sample_46	sample_47	sample_48	sample_49	sample_50	sample_51	sample_52	sample_53	sample_54	sample_55	sample_56	sample_57	sample_58	sample_59	sample_60	sample_61	sample_62	sample_63	sample_64	sample_65	sample_66	sample_67	sample_68	sample_69	sample_70	sample_71	sample_72	sample_73	sample_74	sample_75	sample_76	sample_77	sample_78	sample_79	sample_80	sample_81	sample_82	sample_83	sample_84	sample_85	sample_86	sample_87	sample_88	sample_89	sample_90	sample_91	sample_92	sample_93	sample_94	sample_95	sample_96	sample_97	sample_98	sample_99
EG12231	0.07978861843986283	0.7427089232616594	0.9905876041236621	0.3510044096278676	0.9391383233158382	0.21546575105596555	0.9939005430180419	0.6676086896514101	0.9175291722801	0.7605840348937746	0.8398353503303292	0.2796011675706283	0.7188375027032377	0.8086492063780537	0.9203861192616009	0.1852696048989193	0.6241045647954966	0.9939413195874914	0.3026996304251187	0.3037798350652278	0.9673637342299374	0.9719923394864568	0.704173389427512	0.9342427839798785	0.9880637127064085	0.9754207150299846	0.8847073912128667	0.05245608865839531	0.9993385917292847	0.6947445994775422	0.9561181432587789	0.9575973051801729	0.9842974589409268	0.5242561714468422	0.9739290895414991	0.9925099358859643	0.0742269481334264	0.35723354611461017	0.8063058976556484	0.7724750566054457	0.9825047577838961	0.9223153529319308	0.977806014205073	0.3396687615861552	0.9897205278917443	0.8501065555704937	0.9208625241657233	0.7800530716361085	0.02221589973233458	0.9601258053838794	0.7681508839405217	0.8126421648451235	0.254419399584889	0.9276213537858957	0.7214146806859665	0.6232305376326279	0.9974113880070674	0.9609497324295398	0.9358847283303932	0.8212777991840196	0.5614139467346604	0.2855917729776409	0.49993032657780395	0.9063449773776237	0.3347045426538157	0.7581078044620971	0.7722164996709568	0.022604356205657296	0.6113459672953527	0.9694102259401153	8.324798078225024E-5	0.683370792685593	0.8444999195642269	0.9292234520517333	0.6564300695072515	0.8304398975495992	0.23354945010497566	0.5299353628590051	0.932861711874259	0.9191346975048561	0.3769878614566372	0.944965806463229	0.9854710447264244	0.9673297821307087	0.996075271652006	0.9926835991051379	0.003198150834848281	0.9662872519382881	0.33206997847270664	0.0564503608488657	0.8217479239539466	0.5503989921803635	0.009770703948216414	0.9568495983440337	0.9756619011477692	0.4180995614704195	0.782115408367168	0.9402045600501562	0.903053638498586	0.08124509804210411
EG10510	0.01541078761855158	0.208271387526709	0.976150105887531	0.1182241877333959	0.8651878117521856	0.08184022036035855	0.9284104692150086	0.20843695561701056	0.6989097314579915	0.1358928560915206	0.7332864058759861	0.06444264110533258	0.38833642848838895	0.2356307706720914	0.7671337993126925	0.07312846168918537	0.2853358291683357	0.9841934214711213	0.07389328213199023	0.04956049872221954	0.6028162363651549	0.8673383200142548	0.2202869889525708	0.40589828994970173	0.722862637423748	0.9257337969235403	0.44523388069107667	0.004916858032366207	0.9970376769458797	0.29756733262824236	0.6158616835362185	0.8546545851558394	0.8575745800554844	0.1825341812432858	0.8389133356384771	0.9711700848599292	0.028630721950228755	0.0759275386344222	0.8387391483011852	0.5156333646996087	0.9409079967135499	0.6499995765042771	0.792612777335226	0.10327538196985667	0.9534151685258377	0.8026726808853741	0.5245701066616303	0.7793743185468788	0.006221498859835239	0.8079806525787385	0.6360973466356571	0.7245535416660931	0.11383424593559592	0.5780540866368241	0.40027534833851663	0.07004040659323031	0.9869377376677931	0.7443783846794764	0.5505235389056509	0.5101415978770774	0.22211514526023718	0.10527461216937802	0.47604268377728476	0.5197767979456118	0.14026721193095432	0.3624701375775141	0.5762559126374278	0.004806226412125349	0.16920993017051705	0.6884383793862707	2.6537736477538297E-5	0.44106479584794883	0.2836305738844129	0.5992011010776298	0.34318404762125937	0.5814363589574215	0.0649439932890737	0.19287781606792492	0.8183432015321697	0.533061777861829	0.05407322984682152	0.6369761546663986	0.8016543573504651	0.5951209218403827	0.987867844732852	0.9156326423174238	4.553255720722742E-4	0.9613075976793837	0.09764686219605458	0.010813786051419897	0.5764113947800138	0.2720065116474258	0.0011349387169487712	0.7236845394396124	0.9511866434651779	0.10598831444924242	0.30563901179673963	0.8849174264030234	0.5248320524413599	0.023219457580467874
EG13219	0.04533301392415255	0.4308996177954911	0.9897700718126361	0.24290819807022954	0.9636133653778274	0.1726364128376775	0.9736755683620846	0.37808546215186195	0.7984484458244125	0.3275527392686381	0.8495298293333149	0.13677497351012746	0.6694042398287934	0.36400153305889055	0.7869096628634504	0.1880196832573327	0.49482151937176866	0.9918975051921428	0.15107464560230194	0.12616213539856724	0.7696598613004373	0.936551790087728	0.4853062594849375	0.6499996410126678	0.907979288864674	0.9743704716005425	0.7989116843925379	0.015987224666344717	0.9988091871726713	0.43930354447248954	0.7741113223596722	0.8810061643047244	0.9691870522460022	0.2951756635130781	0.9189276931141319	0.9925217616771146	0.10375987427991194	0.15101833915660987	0.9435797489855121	0.6724805225779363	0.9833214257599039	0.8009704082527713	0.9666445003779753	0.2884805410188666	0.9627819406471805	0.9252797883525404	0.6572306328214872	0.723466768288496	0.020147905888256976	0.8834887170427229	0.7344662504416435	0.8071184686780742	0.2740365465389469	0.7896541216291046	0.6910759654412422	0.19780837226596193	0.9945312769152633	0.8239671574882389	0.756204129395227	0.7053260563769693	0.3626586362652735	0.19247612616599616	0.6779386071282739	0.8026243612848561	0.26231662297318126	0.6096897077975568	0.8910412566508664	0.018171466159475007	0.3905949650159388	0.8131260831677526	7.296959708787017E-5	0.4995497963362419	0.5676325669851416	0.915975564748531	0.5625742080568702	0.7033243184023507	0.153809103421122	0.3542674391140756	0.9268904683693551	0.6267912732603177	0.12016273299274335	0.7714375508688357	0.7856554409843312	0.6380110096595519	0.9954798420441645	0.9568784618272203	0.0011128746611193513	0.9436979588949893	0.34946920579728985	0.02579629107714064	0.7729096879669184	0.47962047954454334	0.002383406358861878	0.91321567999284	0.9745567926760316	0.25371016079927544	0.6604315601900895	0.9409316449715037	0.7223465707480144	0.06008588616019706
EG10509	0.0643810889284431	0.43692809757005263	0.9914739213695023	0.26595361975482207	0.7783213936072736	0.2403214545356886	0.9837060636751197	0.5699287548610151	0.7466155216490746	0.2850135341098078	0.8225686862925073	0.18373281178292775	0.7619494579617412	0.4022123938972557	0.9194770263176483	0.23064117363587572	0.6356652682112371	0.9946039344211678	0.17771239243647693	0.20950631795892166	0.8154996136216254	0.9689914426471068	0.4275840363847853	0.6357706779326091	0.9814137968225881	0.9776456190012422	0.8352990002724883	0.020867591506094796	0.9991220748719226	0.482071895578412	0.6499998187319369	0.8735594095706799	0.9806348028936108	0.4306980485458088	0.9797053322682946	0.9936087039194982	0.10283981621250046	0.23886194473080732	0.9601146965720371	0.6731007137473679	0.9875608740700191	0.7795500723150943	0.9499600004996774	0.26461940424203895	0.9657361365966728	0.885847552334519	0.7343172318090944	0.6989090749117286	0.019470094290902514	0.9600600105072349	0.7496539844455571	0.8463921768810118	0.36789276243427144	0.7938674559379317	0.6079784853965005	0.22920048683379032	0.9958694347723921	0.9289964931259873	0.8819558447577165	0.8192788931954652	0.45820376254047074	0.23597785938779342	0.8969862517489916	0.7962367535358996	0.41815087061638484	0.6806559116043633	0.6319139505260367	0.018981557414993147	0.47676645369944526	0.941701541406845	1.3838131863965023E-4	0.7754938765491157	0.5513825775114638	0.8912092050491491	0.6151831259431996	0.9268950297493034	0.25471318543185656	0.7354318322971535	0.9030403886842361	0.7981595454352026	0.18469887877772456	0.8082619317814116	0.8148538517755671	0.715911331749437	0.9961144422690775	0.9701583183318946	0.0017830989600378041	0.9829945065688351	0.30052242992178124	0.034698896933007255	0.8146769990025919	0.4733263902235498	0.003014596152930696	0.9316982651562794	0.9832675892432156	0.2903645815714585	0.612609519284504	0.9343946514319044	0.7908260602133167	0.08536244775797405
EG10339	0.5415904132063204	0.8549112560735697	0.9312797919412338	0.46569379236876646	0.942993422097903	0.530424141026622	0.860399861487175	0.5978875780903752	0.7014701332339524	0.48920624306682614	0.929912127366516	0.5888832716161709	0.7506561616579462	0.7390643993260891	0.7220169402068323	0.7508868792181168	0.7894707260168414	0.9416102620961633	0.4844790613151445	0.5218558500257614	0.7110866142522749	0.9636180624554913	0.6500003972201661	0.7208852541976865	0.956455659567143	0.8935354332839343	0.7307869656558972	0.47530133751030845	0.950350313568531	0.7034999394486237	0.8478573338256882	0.8796927247119911	0.8846539193410524	0.6759460438757517	0.9536217002352372	0.8984317064989689	0.6042646856030942	0.6116785052714804	0.9378949609352526	0.553529069816377	0.9542673413162104	0.721845686302103	0.7718800117522727	0.6984846748513877	0.8933552206681764	0.9069037909532784	0.9030402517286705	0.9429444769933117	0.46979379755798595	0.9130058054076436	0.9380704057706428	0.9024077072297543	0.5003518662792574	0.6713648292607214	0.878389415811778	0.7296027797660367	0.9545673919624073	0.8226816254821193	0.7573666854983743	0.831520125904138	0.5665207884574828	0.5149062299549692	0.722368576811213	0.7184758828994714	0.748128050785489	0.8908537068653892	0.8481995976205983	0.4150830690791124	0.6209332965990186	0.7586108456111724	0.4527097439877958	0.737743103033849	0.8366240103973629	0.8891556621736278	0.4915917213508047	0.9358207504511732	0.5900411140351387	0.672242062012774	0.9310474618059377	0.675947024959695	0.7061252043928432	0.7979225344789667	0.9396576956955349	0.7864603360789405	0.9072536539151607	0.8913114109054032	0.583912647876729	0.9331724708803139	0.6860557801736015	0.5248820602547464	0.8231275375633259	0.8723861708003903	0.5455030239578248	0.764096521062531	0.9287802794094545	0.49023808018049364	0.716201558030517	0.7492103729828001	0.8743685422222993	0.5812238594666949
EG10389	0.2148445474812074	0.2005874594616297	0.07043218610052615	0.17267661634532572	0.08827107715438438	0.17879213634314628	0.06365631426700033	0.18376895981739896	0.11545459076628094	0.21707865757030448	0.09504547645254932	0.2678102712563584	0.1979761876569442	0.16251589229836466	0.112066450811567	0.20681550252648037	0.13803314243520323	0.08117244907417302	0.1653158327433407	0.23035228000118013	0.156894925915974	0.06839169452735877	0.18957166934663094	0.19669929153000995	0.08542366270888588	0.08184212611792908	0.1529537335737839	0.19211694457083311	0.07719679230303932	0.19118116494091317	0.1271604186854713	0.106488377120767	0.08386604728323833	0.22108904133877785	0.08526148162071923	0.08136873331136232	0.1723527935306369	0.19598415034699243	0.06388179023705552	0.1066435245551124	0.06823242672326246	0.16407099764172134	0.06812485147299571	0.2521251992066897	0.08617644881374131	0.10760959223986886	0.1378781924968465	0.12161882587070003	0.2045634472092303	0.09963771666563437	0.1255665372539139	0.1228034353471073	0.1540734220032111	0.1400420192925233	0.1286838130259839	0.23673111241319597	0.08659807415335129	0.0809058046126381	0.16858990794763742	0.11415737444185621	0.21085823241388338	0.1668969901742983	0.10408930659788962	0.16204296522598208	0.1344069275367948	0.16875120625930595	0.10089777300205538	0.1683348797307851	0.17605500025636284	0.12324142118698267	0.14761082729736444	0.15573686244408502	0.1616538334713756	0.10420800464208609	0.09971644443615349	0.1218698247144134	0.16506006982308977	0.20443995787226185	0.09267404481930262	0.12169702301853426	0.2352115843042777	0.11357087764017158	0.08796591761582855	0.12125259185197888	0.0882574902434676	0.0952710278848371	0.1343268645662913	0.08711609257087564	0.17916089625845713	0.1581657806504562	0.15413027185137307	0.21700019147910188	0.14309470535467286	0.10466478278372734	0.0841475928496433	0.17646625033088942	0.12084838376629206	0.08454484560913476	0.09366814923825517	0.16769574640293392
EG13995	0.14775498620616018	0.7454243458287132	0.9906551061645145	0.3474547269931212	0.8849214255586181	0.35329906086642376	0.9703493583001854	0.6453612040671808	0.830469645617544	0.5407370865641868	0.960816772914774	0.25406519548263173	0.8839942066086883	0.4783026191796288	0.8005465481197146	0.24403938054831797	0.5667081479321731	0.994211716312598	0.3129123209680355	0.21940722519857017	0.8398250643419997	0.9722435290046303	0.4905500392529417	0.5165138642399602	0.9167076420549817	0.9626124607999974	0.85715082134549	0.09337887797508758	0.9989205753693084	0.7039984479113538	0.8028211482092364	0.9175680257053462	0.9762686070419013	0.3562607180225634	0.9628893837651287	0.9938717064886804	0.1303045919272626	0.3687082119923285	0.9646988791123049	0.8876599701204345	0.9746183288052395	0.713383918664751	0.9710968857475893	0.38679249662017817	0.9560569851441915	0.8498395978825617	0.8268221784742712	0.8203691953295312	0.0715561504182457	0.9385550425883966	0.691663932097775	0.7821432075270384	0.3330487469447187	0.5836066575102896	0.6713222382766474	0.3392039199884457	0.9952035672001951	0.8507346728128508	0.8327077923171432	0.7524727897158094	0.6242981954691597	0.3703500270747063	0.8342127338371019	0.6526543790981107	0.47781391426912884	0.6837890188151925	0.8019953667792874	0.05341828828146189	0.4391393612369224	0.716443330558941	0.005855975983913081	0.6016680872964696	0.6812066756591999	0.7521237193904365	0.4721084566689213	0.8753846306852144	0.2781189207160074	0.5766876138901388	0.9496950923427449	0.7626557664046757	0.23777375289492797	0.793915324422051	0.9550993742914295	0.9347127810728426	0.9960794078387118	0.9641779671229563	0.013359912784574495	0.9380489991200796	0.29088706461737585	0.08015033948096517	0.9185742346720104	0.6797660399762676	0.030082194396921155	0.9090759830302243	0.9760916813974752	0.40703833777987414	0.6892804789576045	0.8571781101283688	0.9087088609825393	0.19438866354357726
EG10828	0.06274808209192835	0.33136677451601676	0.8156638452617092	0.30964115238297885	0.7798326718635847	0.07789739791211509	0.6040027059292344	0.2498108759958372	0.8137383279450036	0.17369429665170477	0.6380788754456418	0.06681420575364212	0.26299289020196054	0.1957163017681377	0.664609642458931	0.14342100637337532	0.23320902046574998	0.7519708466474803	0.10265144362808185	0.047189472844511714	0.49559869428092146	0.5890349948562313	0.20305817911363389	0.2930835396814764	0.6587480724391627	0.7046657313065423	0.3466240484204595	0.005874127282351235	0.9770839773910691	0.2876250496277913	0.6469467310769614	0.8280517743535811	0.8693013082681376	0.21194100801927285	0.7638778338001307	0.7058382209119897	0.03614076808738065	0.10384421714506553	0.8819352113817692	0.5677993511516558	0.9047309292882365	0.8684371160941231	0.6000879914674486	0.09312600722368326	0.7880738796137375	0.6499998730430161	0.8322520087605408	0.6488732100559071	0.021805769200829134	0.6604101895978632	0.4759458885487656	0.8498101091114367	0.23829917387847172	0.47787412472322893	0.4142496098822018	0.11583050202521598	0.6738962910102586	0.7730036596019205	0.4018303929610327	0.576521072848288	0.1825410502972899	0.09659333111801295	0.38364162719552114	0.6251292259159225	0.2989311695970655	0.39809764664983127	0.5504411678416989	0.008967773546292723	0.39088433790200006	0.7439904096673731	0.0036821897982688037	0.4761458286541465	0.38279950190225775	0.625768280145052	0.2607483692436058	0.9516341022277667	0.09421688012091639	0.3110590326275396	0.9300615185220412	0.6875916377495821	0.07160494743577821	0.4287623106243821	0.9119189112952201	0.47815799800048525	0.8337911001433349	0.9368845240089034	0.011179782104908824	0.9694737744118811	0.11875854375652613	0.009039966029070345	0.5768465005331471	0.3505844012929501	0.009077628814252685	0.6376443095578226	0.7000645997244552	0.12495238147576884	0.392438160521946	0.8423301593243495	0.48574941464649163	0.04283335483406047
EG10754	0.04629147921311608	0.37920472099476293	0.986036379642269	0.22678013126110932	0.8006287449071751	0.1298840070111747	0.9823502496436352	0.3897605884756387	0.6735325896860692	0.2683720394467431	0.9293339860640093	0.15264329855369005	0.6448955471950929	0.38039964200504095	0.6900992401444803	0.13079983784805058	0.40865596304582186	0.9930597387245423	0.1538950551029998	0.13165519199027445	0.6210290437845873	0.918694373275597	0.3951606797930963	0.5099684588668182	0.9496057968090199	0.9619286165332518	0.5972553596053033	0.01231769796109732	0.9986304179825053	0.5173176537085007	0.8190134749346957	0.7665611560771581	0.9645594802306391	0.36238265437753653	0.9650148849210406	0.9895736591131264	0.07301443732160463	0.16072064487594562	0.8992495082531219	0.742976032665827	0.9790987512009336	0.5773298644626158	0.9059892712578418	0.19443561876536664	0.9680810293503816	0.8157409486763364	0.8128158697218724	0.6984469912189321	0.013632124904690063	0.8753456102121832	0.6586313754936025	0.8325211092743887	0.2750947543009897	0.7845915471570211	0.4611934122887545	0.18381492949991954	0.9926623272041407	0.9589627824156587	0.6723875606638157	0.6508724814461103	0.43543266601937597	0.151844429463324	0.5658087056113571	0.6720102393502607	0.32258698343126135	0.7181510466356483	0.5974476007585603	0.011972839710061009	0.25197378205149956	0.7549727211048468	5.831745751561095E-5	0.4940066034604117	0.5255200227748994	0.9218500342318813	0.5551628527268554	0.5924333876131639	0.14186545448657298	0.4087143053709173	0.802153095489513	0.8756811347492511	0.1441242494768504	0.8590013015312963	0.9220647378245699	0.9019442876530234	0.9940317208659071	0.9773720094892052	0.001278862122774774	0.962583813113836	0.23581973257526614	0.025181777621767924	0.7873162003173545	0.5826391110384435	0.0025164363602836167	0.8843867653725476	0.9520542957082812	0.30199432022068484	0.537626262237953	0.9300478265155928	0.8028992574932111	0.054577260069467705
EG11222	0.03742328499647838	0.4572711160605222	0.9882031566985615	0.21214614961035566	0.9143039131080458	0.1664051799735469	0.9799748079833066	0.30937884438166285	0.8994104381930708	0.2595665990252655	0.8940079977356119	0.11353410873888695	0.5919572335566468	0.31575420274101246	0.8821054823365267	0.14715727629038172	0.39252694514311154	0.9909798277205422	0.1268310551743466	0.12347855380617095	0.7315056747794897	0.9656205736276511	0.368166384814779	0.7081637800106098	0.9259672808951844	0.9703282993386813	0.6735352459745779	0.011355005348760022	0.998599660313723	0.446434726597166	0.6218274723013353	0.7550526794440341	0.9407818254603297	0.2570084324168662	0.9614026286266631	0.9905264580622111	0.06251840331933627	0.22977003019822922	0.9242777832610404	0.6396102684105357	0.9301729498460354	0.7994530180506952	0.8786108075385025	0.1889463006200399	0.9664125698048984	0.75911147590486	0.8072310401535454	0.8553973553269815	0.013187496649537698	0.9221217561581445	0.7805971970450315	0.8077930996662355	0.2309723616752844	0.682717680575978	0.5729278480117797	0.15820037001528559	0.9920078828946298	0.8153683752201778	0.8974459912879086	0.8389199042089704	0.31334195163203143	0.18048472067677995	0.5311525532214525	0.7355103914121373	0.2959933665205939	0.6160751446423841	0.7127812401054591	0.012152994937730505	0.3389691799473219	0.910776404438372	5.5383132031140817E-5	0.4718281332747729	0.5357282916365366	0.9220695760029222	0.45189821167278227	0.7771687395214663	0.15943070205095486	0.4463251120419223	0.9649079318557775	0.8805139732814072	0.1317576007278355	0.8423072613989921	0.9526361800582228	0.8474717766573292	0.9928358347699379	0.9442761437319439	8.938087067291968E-4	0.911579728539084	0.26188347045248367	0.03161035846421921	0.6837407859224188	0.5080388326320652	0.001967371596120763	0.8721108185818326	0.9850383870942171	0.19085384932795563	0.5654559003516496	0.9583728821340698	0.7397109235963938	0.04069343730248914
